ID czaswypelnienia czasnauka procentzajec czasaktywnosci srednia motywacja zaangazowanie FTP IQ ekstrawersja ugodowosc sumiennosc neurotyzm otwartoscnadoswiadczenia plec0 plec studia wiek edukacjarodzicow0 edukacjarodzicow wsparciefinansowe0 wsparciefinansowe dochodrozporzadzalny0 dochodrozporzadzalny trybstudiaw0 trybstudiaw kierunek humanistyczne inzynieryjnotechniczne medyczneinaukiozdrowiu unknown scisleiprzyrodnicze miejscowosc zamieszkanie0 zamieszkanie czasnauka0 czasaktywnosci0 biblio0 biblio l_zaangazowanie sq_zaangazowanie sq_FTP sq_IQ sq_sumiennosc l_neurotyzm l_zaangazowanie_boxcox l_l_zaangazowanie_boxcox FTP_trybstudiaw IQ_trybstudiaw ekstrawersja_trybstudiaw sumiennosc_trybstudiaw edukacjarodzicow_trybstudiaw wsparciefinansowe_trybstudiaw FTP_edukacjarodzicow IQ_edukacjarodzicow ekstrawersja_edukacjarodzicow sumiennosc_edukacjarodzicow wsparcie_edukacjarodzicow trybstudiaw_edukacjarodzicow mask sq_sq_sumiennosc sq_wsparciefinansowe czydochod czydochod2 uhat1
116 985.000003315508 6 80 0 3.78 33 90 16 1 6 7 6 7 8 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4 godziny dziennie lub więcej" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 4.49980967033027 8100 256 1 36 1.94591014905531 16.9736659610103 2.83166308190352 16 1 6 6 0 4 0 0 0 0 0 0 1 1296 16 500 0 4.34313285977379
117 463.00000010524 1 80 1 3.8 28 48.3333333333333 18 2 8 7 5 5 7 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;Studia zaoczne / niestacjonarne lub inne;" 1 "Humanistyczne;Społeczne i ekonomiczne;" 1 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w tygodniu" 4 3.87812145375246 2336.11111111111 324 4 25 1.6094379124341 11.9044357430761 2.4769110821819 18 2 8 5 1 5 18 2 8 5 5 1 1 625 25 500 0 -1.83454297231389
118 1814.99999617226 1 85 6 4 31 50.8333333333333 17 2 7 8 6 5 9 "Kobieta" 0 "2 lata" 21 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w tygodniu" 4 3.92855230737936 2584.02777777778 289 4 36 1.6094379124341 12.2594997574716 2.50630112685926 17 2 7 6 0 4 0 0 0 0 0 0 1 1296 16 0 4000 -0.351543761572328
119 1418.99999852758 0.5 90 6 3.47 33 49.1666666666667 17 5 5 5 7 5 7 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie średnie" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w tygodniu" 4 3.89521588711176 2417.36111111111 289 25 49 1.6094379124341 12.0237893119751 2.48688713000633 17 5 5 7 0 2 0 0 0 0 0 0 1 2401 4 0 2500 -1.91308364598786
120 1939.99999961816 0.5 60 1 4.55 26 34.1666666666667 15 2 6 3 2 3 5 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 3.53125050991035 1167.36111111111 225 4 4 1.09861228866811 9.69045194450012 2.27114106511434 15 2 6 2 1 5 15 2 6 2 5 1 1 16 25 4000 0 -1.16685085426331
121 1106.99999977369 1 90 6 4.7 29 53.3333333333333 17 5 7 6 4 2 7 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Inżynieryjno-techniczne;" 0 1 0 1 0 "Miasto powyżej 500 tys." "Mieszkam w akademiku;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Tylko podczas sesji" 1 3.97656152656572 2844.44444444444 289 25 16 0.693147180559945 12.6059348668044 2.53416772423673 17 5 7 4 0 4 0 0 0 0 0 0 1 256 16 0 4000 -1.12182110041305
122 676.999995438382 0.5 50 3 3.85 25 29.1666666666667 10 1 5 5 5 5 7 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "2-3 godziny dziennie" "Tylko podczas sesji" 1 3.37302650469546 850.694444444444 100 1 25 1.6094379124341 8.80123449734643 2.17489199543468 10 1 5 5 1 4 10 1 5 5 4 1 1 625 16 1500 0 -0.788304183620529
123 329.000002727844 3 97 3 3.75 36 73.5 16 1 6 5 9 6 3 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "2000-2999" 2500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Wieś" "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 4.29728540621879 5402.25 256 1 81 1.79175946922806 15.1464281994822 2.71776474174864 16 1 6 9 0 1 0 0 0 0 0 0 1 6561 1 0 2500 1.65464002378864
124 421.999994921498 0.5 100 6 4.38 29 54.1666666666667 14 1 6 4 8 3 7 "Kobieta" 0 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.99206571310168 2934.02777777778 196 1 64 1.09861228866811 12.7196014438797 2.54314422439276 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 1 0 6500 2.41017809922529
125 508.000006224029 0 80 6 4.75 32 40 18 2 8 9 8 4 9 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Artystyczne;" 1 0 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "w ogóle nie przygotowuję się do zajęć" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.68887945411394 1600 324 4 64 1.38629436111989 10.6491106406735 2.36547638075047 18 2 8 8 1 4 18 2 8 8 4 1 1 4096 16 1500 0 -1.9170441677199
126 984.99999451451 0.5 80 6 3.99 28 44.1666666666667 16 2 7 8 5 7 9 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.78797035675817 1950.69444444444 256 4 25 1.94591014905531 11.2916013582513 2.42405920674392 16 2 7 5 1 2 16 2 7 5 2 1 1 625 4 0 2500 1.1518443514315
127 683.00000061281 1 60 1 3.99 31 38.3333333333333 13 6 7 6 2 5 6 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.64631983969514 1469.44444444444 169 36 4 1.6094379124341 10.3827837473378 2.34014902553414 13 6 7 2 1 4 13 6 7 2 4 1 1 16 16 500 0 -0.975447668425442
128 1314.99999936204 0.5 80 1 4.6 29 44.1666666666667 18 4 5 9 8 6 9 "Kobieta" 0 "4 lata" 23 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Artystyczne ;" 1 0 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Raz w miesiącu" 2 3.78797035675817 1950.69444444444 324 16 64 1.79175946922806 11.2916013582513 2.42405920674392 18 4 5 8 1 4 18 4 5 8 4 1 1 4096 16 500 0 -3.09505746564146
129 616.999999643303 0 80 0 4.72 32 40 19 2 9 9 3 8 9 "Kobieta" 0 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "W 100% utrzymuję się sam" 1 "3000-4999" 4000 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Wieś" "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "mniej niż 1 godzinę tygodniowo" "mniej niż 1 godzinę tygodniowo" "Kilka razy w tygodniu" 4 3.68887945411394 1600 361 4 9 2.07944154167984 10.6491106406735 2.36547638075047 19 2 9 3 0 1 0 0 0 0 0 0 1 81 1 0 4000 -1.43506501825112
130 541.999995941296 0.5 99 6 4.25 24 53.6666666666667 10 3 3 8 5 9 8 "Kobieta" 0 "3 lata" 22 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.98279207631635 2880.11111111111 100 9 25 2.19722457733622 12.6515073172239 2.53777636358685 0 0 0 0 0 0 0 0 0 0 0 0 1 625 1 0 6500 2.38325232868374
131 722.000002185815 1 100 1 4.75 27 58.3333333333333 14 4 2 5 4 3 4 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.0661736852554 3402.77777777778 196 16 16 1.09861228866811 13.2752523165195 2.5859015738415 14 4 2 4 1 5 14 4 2 4 5 1 1 256 25 0 2500 0.0975619559966354
132 483.000001637266 0.5 98 6 4.5 24 53.1666666666667 13 3 4 5 4 8 2 "Kobieta" 0 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 3.97343163355679 2826.69444444444 169 9 16 2.07944154167984 12.5830952361516 2.53235426521757 13 3 4 4 0 3 0 0 0 0 0 0 1 256 9 0 4000 1.18520005410747
134 765.999996755272 0.5 70 1 4 25 39.1666666666667 12 4 4 8 2 2 8 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.6678260449161 1534.02777777778 144 16 4 0.693147180559945 10.5166555703457 2.35296024520088 12 4 4 2 1 5 12 4 4 2 5 1 1 16 25 500 0 -0.951682441486973
135 402.999995509163 1 100 1 5 34 58.3333333333333 18 2 5 9 8 9 9 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.0661736852554 3402.77777777778 324 4 64 2.19722457733622 13.2752523165195 2.5859015738415 18 2 5 8 1 5 18 2 5 8 5 1 1 4096 25 500 0 -1.68567986995283
136 478.000008012168 6 80 1 5 30 90 15 3 3 6 7 9 8 "Kobieta" 0 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "Mąż zarabia na pełen etat, a ja na pół etatu" 1 "3000-4999" 4000 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto od 50 tys. do 150 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "4 godziny dziennie lub więcej" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.49980967033027 8100 225 9 49 2.19722457733622 16.9736659610103 2.83166308190352 15 3 3 7 0 1 0 0 0 0 0 0 1 2401 1 0 4000 2.62899550468691
137 415.000005229376 3 90 1 5 31 70 18 3 7 8 7 4 8 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Codzienne" 5 4.24849524204936 4900 324 9 49 1.38629436111989 14.7332005306815 2.69010348662027 18 3 7 7 1 5 18 3 7 7 5 1 1 2401 25 500 0 0.719285093001119
138 673.999997251667 0.5 80 6 4.2 33 44.1666666666667 12 3 9 5 8 6 8 "Kobieta" 0 "3 lata" 22 "Wykształcenie wyższe" 1 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Inżynieryjno-techniczne;" 0 1 0 1 0 "Miasto powyżej 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.78797035675817 1950.69444444444 144 9 64 1.79175946922806 11.2916013582513 2.42405920674392 12 3 9 8 1 1 12 3 9 8 1 1 1 4096 1 0 6500 1.02495745272889
139 577.000005380251 0.5 80 0 3.5 24 44.1666666666667 9 2 8 7 4 8 9 "Kobieta" 0 "6 lat i więcej" 25 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto od 50 tys. do 150 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.78797035675817 1950.69444444444 81 4 16 2.07944154167984 11.2916013582513 2.42405920674392 9 2 8 4 1 4 9 2 8 4 4 1 1 256 16 2500 0 1.90644548145823
140 800.000003445894 1 80 6 4.9 33 48.3333333333333 18 3 8 7 5 7 7 "Kobieta" 0 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto powyżej 500 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Tylko podczas sesji" 1 3.87812145375246 2336.11111111111 324 9 25 1.94591014905531 11.9044357430761 2.4769110821819 18 3 8 5 0 2 0 0 0 0 0 0 1 625 4 0 2500 -0.536421033561318
142 923.999995971099 1 90 1 4.5 27 53.3333333333333 13 1 5 6 8 8 8 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 3.97656152656572 2844.44444444444 169 1 64 2.07944154167984 12.6059348668044 2.53416772423673 13 1 5 8 1 4 13 1 5 8 4 1 1 4096 16 500 0 -0.20006827341922
143 731.000004289672 3 50 0.5 4.6 33 50 18 4 3 7 2 8 7 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "1-3 godziny tygodniowo" "Kilka razy w miesiącu" 3 3.91202300542815 2500 324 16 4 2.07944154167984 12.142135623731 2.49668168644745 18 4 3 2 1 5 18 4 3 2 5 1 1 16 25 500 0 -2.02566544918971
144 493.000007118099 1 95 6 3 31 55.8333333333333 14 1 4 6 8 2 8 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 4.02237106259701 3117.36111111111 196 1 64 0.693147180559945 12.9443411809733 2.56065871820217 14 1 4 8 1 3 14 1 4 8 3 1 1 4096 9 0 2500 1.04064169364587
145 539.999999874272 0 70 6 4 31 35 14 3 5 5 4 3 5 "Mężczyzna" 1 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam sam;" 0 "w ogóle nie przygotowuję się do zajęć" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.55534806148941 1225 196 9 16 1.09861228866811 9.83215956619923 2.28565860140373 14 3 5 4 0 3 0 0 0 0 0 0 1 256 9 0 6500 -1.75492955849461
146 512.000006530434 0.5 75 6 4.31 32 41.6666666666667 14 4 5 6 4 5 8 "Kobieta" 0 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W 100% utrzymuję się sam" 1 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.72970144863419 1736.11111111111 196 16 16 1.6094379124341 10.9099444873581 2.38967471159721 0 0 0 0 0 0 0 0 0 0 0 0 1 256 1 0 4000 0.178468189873717
147 411.999998870305 0.5 60 0 4 33 34.1666666666667 15 4 7 5 5 6 7 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Wieś" "Mieszkam w akademiku;" 0 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.53125050991035 1167.36111111111 225 16 25 1.79175946922806 9.69045194450012 2.27114106511434 15 4 7 5 0 4 0 0 0 0 0 0 1 625 16 0 1500 -3.40534636436003
148 631.000005430542 0 85 1 4 28 42.5 11 3 3 4 3 8 6 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "mniej niż 1 godzinę tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.74950407593037 1806.25 121 9 9 2.07944154167984 11.0384048104053 2.40138053859789 0 0 0 0 0 0 11 3 3 3 4 0 1 81 16 0 2500 0.994519526261513
149 334.000005153939 0.5 40 0 3.91 30 24.1666666666667 11 2 5 2 2 6 4 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.18497427319252 584.027777777778 121 4 4 1.79175946922806 7.83192080250175 2.05820779313696 11 2 5 2 0 3 0 0 0 0 0 0 1 16 9 0 4000 -2.8306803585107
150 692.999997292645 3 90 0 4.5 28 70 17 1 4 3 6 5 3 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "2-3 godziny dziennie" "mniej niż 1 godzinę tygodniowo" "Kilka razy w tygodniu" 4 4.24849524204936 4900 289 1 36 1.6094379124341 14.7332005306815 2.69010348662027 17 1 4 6 0 5 0 0 0 0 0 0 1 1296 25 0 1500 0.566673525356109
152 772.999994619749 1 80 6 4 28 48.3333333333333 16 3 7 4 8 5 5 "Kobieta" 0 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "2000-2999" 2500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Miasto od 50 tys. do 150 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.87812145375246 2336.11111111111 256 9 64 1.6094379124341 11.9044357430761 2.4769110821819 16 3 7 8 0 3 0 0 0 0 0 0 1 4096 9 2500 0 -1.23227082605763
153 683.00000061281 0.5 70 0 3.9 27 39.1666666666667 14 3 7 4 3 9 4 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Tylko podczas sesji" 1 3.6678260449161 1534.02777777778 196 9 9 2.19722457733622 10.5166555703457 2.35296024520088 14 3 7 3 1 5 14 3 7 3 5 1 1 81 25 500 0 -0.425080850093456
154 1150.00000102445 3 100 3 4.8 29 75 16 3 8 6 5 5 5 "Kobieta" 0 "5 lat" 24 "Wykształcenie średnie" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Wieś" "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "2-3 godziny dziennie" "Kilka razy w miesiącu" 3 4.31748811353631 5625 256 9 25 1.6094379124341 15.3205080756888 2.72919232797198 0 0 0 0 0 0 0 0 0 0 0 0 1 625 25 0 4000 2.963761872867
